13.61	9.8	15.48
13.94	7.85	15.81
14.27	5.9	16.14
14.275	5.66	16.095
14.28	5.42	16.05
14.185	6.12	15.825
14.09	6.82	15.6
14.015	8.07	15.365
13.94	9.32	15.13
13.9	10.855	14.885
13.86	12.39	14.64
13.8	13.965	14.27
13.74	15.54	13.9
13.71	17.305	13.465
13.68	19.07	13.03
13.675	20.535	12.475
13.67	22	11.92
13.635	22.505	11.145
13.6	23.01	10.37
13.58	22.435	9.575
13.56	21.86	8.78
13.665	20.56	8.31
13.77	19.26	7.84
13.97	17.525	7.84
14.17	15.79	7.84
14.42	13.89	8.285
14.67	11.99	8.73
15.365	10.92	10.14
16.06	9.85	11.55
18.19	11.89	15.365
20.32	13.93	19.18
24.05	19.2	25.45
27.78	24.47	31.72
32.625	31.37	39.345
37.47	38.27	46.97
43.225	45.425	54.615
48.98	52.58	62.26
53.165	56.79	66.62
57.35	61	70.98
59.97	62.435	70.59
62.59	63.87	70.2
64.135	64.755	66.65
65.68	65.64	63.1
66.425	66.27	59.515
67.17	66.9	55.93
67.675	67.585	53.51
68.18	68.27	51.09
68.47	68.77	49.775
68.76	69.27	48.46
69.035	69.775	48.045
69.31	70.28	47.63
69.555	70.74	47.435
69.8	71.2	47.24
70.1	71.795	47.325
70.4	72.39	47.41
70.755	72.88	47.5
71.11	73.37	47.59
71.485	73.69	47.73
71.86	74.01	47.87
72.235	74.535	47.845
72.61	75.06	47.82
