380		0.001368	0.000039	0.00645
382		0.001642	0.000047	0.007745
384		0.0001996	0.000057	0.009415
386		0.002535	0.000072	0.011966
388		0.003301	0.000094	0.015588
390		0.004243	0.00012	0.02005
392		0.00533	0.000151	0.025203
394		0.006741	0.000192	0.031897
396		0.008751	0.000247	0.041438
398		0.011422	0.000319	0.05412
400		0.01431	0.000396	0.06785
402		0.017147	0.000473	0.081362
404		0.020748	0.000572	0.09854
406		0.026207	0.000725	0.124613
408		0.033881	0.000941	0.161304
410		0.04351	0.00121	0.2074
412		0.055023	0.001531	0.262611
414		0.069212	0.001935	0.330799
416		0.086958	0.002455	0.416209
418		0.108406	0.003118	0.519695
420		0.13438	0.0004	0.6456
422		0.165396	0.005159	0.796713
424		0.198611	0.006546	0.959439
426		0.230187	0.008087	1.115367
428		0.258777	0.009768	1.258123
430		0.2839	0.0116	1.3856
432		0.304897	0.013583	1.494804
434		0.321645	0.015715	1.584881
436		0.334351	0.018007	1.656405
438		0.343121	0.020454	1.709875
440		0.34828	0.023	1.74706
442		0.350147	0.02561	1.769623
444		0.349287	0.028351	1.780433
446		0.346373	0.031311	1.782968
448		0.341809	0.034521	1.779198
450		0.3362	0.038	1.77211
452		0.330041	0.041768	1.764039
454		0.322887	0.045843	1.752466
456		0.314025	0.050244	1.73356
458		0.30329	0.054981	1.705937
460		0.2908	0.06	1.6692
462		0.276721	0.065278	1.623413
464		0.260423	0.070911	1.564528
466		0.240848	0.077016	1.486111
468		0.218407	0.083667	1.38988
470		0.19536	0.09098	1.28764
472		0.173327	0.099046	1.187824
474		0.152283	0.107885	1.090148
476		0.132179	0.117532	0.994198
478		0.113275	0.127993	0.901453
480		0.09564	0.13902	0.81295
482		0.079308	0.150469	0.729445
484		0.06458	0.162718	0.652105
486		0.051862	0.176243	0.582329
488		0.041151	0.191274	0.520338
490		0.03201	0.20802	0.46518
492		0.024144	0.226735	0.416184
494		0.01754	0.247481	0.372946
496		0.012162	0.270185	0.334858
498		0.007967	0.295051	0.301338
500		0.0049	0.323	0.272
502		0.002945	0.354686	0.246484
504		0.002236	0.389288	0.223453
506		0.002926	0.42563	0.201169
508		0.005175	0.463394	0.179225
510		0.0093	0.503	0.1582
512		0.015536	0.544512	0.138376
514		0.023993	0.586965	0.120075
516		0.034815	0.629346	0.103905
518		0.047985	0.670875	0.089982
520		0.06327	0.71	0.07825
522		0.080462	0.745464	0.068678
524		0.099456	0.777836	0.060788
526		0.120167	0.80811	0.053904
528		0.142368	0.836307	0.047753
530		0.1655	0.862	0.04216
532		0.18914	0.884962	0.036936
534		0.213366	0.905443	0.032089
536		0.238321	0.923734	0.027712
538		0.263992	0.939923	0.023787
540		0.2904	0.954	0.0203
542		0.317573	0.966007	0.01724
544		0.345483	0.976023	0.014585
546		0.374084	0.984092	0.012307
548		0.403378	0.990313	0.010378
